12/5/2023
5:49 PM
relaxation time temp 410 part 2_2023.12.05_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.004000E+0	8.025600E-5	NaN	4.100000E+2	4.100000E+2
4.146000E+0	8.024700E-5	NaN	4.100000E+2	4.100000E+2
7.790000E+0	8.025600E-5	NaN	4.100000E+2	4.100000E+2
1.114500E+1	8.025300E-5	NaN	4.100100E+2	4.100100E+2
1.425600E+1	8.025800E-5	NaN	4.100000E+2	4.100000E+2
1.741400E+1	8.026000E-5	NaN	4.100000E+2	4.100000E+2
2.054500E+1	8.024900E-5	NaN	4.100000E+2	4.100000E+2
2.433800E+1	8.025100E-5	NaN	4.100000E+2	4.100000E+2
2.750200E+1	8.024800E-5	NaN	4.100000E+2	4.100000E+2
3.061400E+1	8.025200E-5	NaN	4.100000E+2	4.100000E+2
3.372100E+1	8.025400E-5	NaN	4.100100E+2	4.100100E+2
3.682600E+1	8.025100E-5	NaN	4.100000E+2	4.100000E+2
4.024300E+1	8.025100E-5	NaN	4.100000E+2	4.100000E+2
4.336700E+1	8.025200E-5	NaN	4.099900E+2	4.099900E+2
4.696000E+1	8.024800E-5	NaN	4.099900E+2	4.099900E+2
5.003200E+1	8.024800E-5	NaN	4.099900E+2	4.099900E+2
5.312100E+1	8.025700E-5	NaN	4.099900E+2	4.099900E+2
5.625000E+1	8.024900E-5	NaN	4.100000E+2	4.100000E+2
5.933800E+1	8.025700E-5	NaN	4.100000E+2	4.100000E+2
6.239800E+1	8.025700E-5	NaN	4.100000E+2	4.100000E+2
6.584100E+1	8.025700E-5	NaN	4.100000E+2	4.100000E+2
6.898300E+1	8.026400E-5	NaN	4.100000E+2	4.100000E+2
7.207300E+1	8.026200E-5	NaN	4.100000E+2	4.100000E+2
7.515500E+1	8.026900E-5	NaN	4.100000E+2	4.100000E+2
7.824600E+1	8.026100E-5	NaN	4.100000E+2	4.100000E+2
8.140600E+1	8.027100E-5	NaN	4.100000E+2	4.100000E+2
8.447900E+1	8.027000E-5	NaN	4.100000E+2	4.100000E+2
8.810700E+1	8.026900E-5	NaN	4.100100E+2	4.100100E+2
9.124800E+1	8.026400E-5	NaN	4.100100E+2	4.100100E+2
9.439700E+1	8.026000E-5	NaN	4.100100E+2	4.100100E+2
9.770500E+1	8.025000E-5	NaN	4.100100E+2	4.100100E+2
1.007700E+2	8.025800E-5	NaN	4.100100E+2	4.100100E+2
1.038580E+2	8.026100E-5	NaN	4.100100E+2	4.100100E+2
1.069550E+2	8.024300E-5	NaN	4.100100E+2	4.100100E+2
1.100150E+2	8.024700E-5	NaN	4.100200E+2	4.100200E+2
1.131990E+2	8.024000E-5	NaN	4.100200E+2	4.100200E+2
1.164840E+2	8.024200E-5	NaN	4.100100E+2	4.100100E+2
1.195600E+2	8.024500E-5	NaN	4.100100E+2	4.100100E+2
1.226160E+2	8.022200E-5	NaN	4.100100E+2	4.100100E+2
1.258310E+2	8.022400E-5	NaN	4.100200E+2	4.100200E+2
1.291640E+2	8.021500E-5	NaN	4.100200E+2	4.100200E+2
1.326360E+2	8.022300E-5	NaN	4.100200E+2	4.100200E+2
1.357080E+2	8.020900E-5	NaN	4.100200E+2	4.100200E+2
1.390320E+2	8.021000E-5	NaN	4.100200E+2	4.100200E+2
1.421040E+2	8.022300E-5	NaN	4.100200E+2	4.100200E+2
1.457570E+2	8.020700E-5	NaN	4.100100E+2	4.100100E+2
1.488950E+2	8.020800E-5	NaN	4.100100E+2	4.100100E+2
1.526930E+2	8.019700E-5	NaN	4.100100E+2	4.100100E+2
1.559050E+2	8.018100E-5	NaN	4.100100E+2	4.100100E+2
1.590690E+2	8.017400E-5	NaN	4.100100E+2	4.100100E+2
1.621850E+2	8.017200E-5	NaN	4.100100E+2	4.100100E+2
1.653260E+2	8.014900E-5	NaN	4.100100E+2	4.100100E+2
1.684730E+2	8.015000E-5	NaN	4.100100E+2	4.100100E+2
1.720900E+2	8.013500E-5	NaN	4.100100E+2	4.100100E+2
1.757620E+2	8.013800E-5	NaN	4.100000E+2	4.100000E+2
1.790210E+2	8.014900E-5	NaN	4.100000E+2	4.100000E+2
1.822170E+2	8.014100E-5	NaN	4.100000E+2	4.100000E+2
1.853240E+2	8.013100E-5	NaN	4.100000E+2	4.100000E+2
1.884220E+2	8.013100E-5	NaN	4.100000E+2	4.100000E+2
1.915350E+2	8.012500E-5	NaN	4.100100E+2	4.100100E+2
1.946040E+2	8.012900E-5	NaN	4.100000E+2	4.100000E+2
1.977470E+2	8.012200E-5	NaN	4.100100E+2	4.100100E+2
2.008540E+2	8.013200E-5	NaN	4.100000E+2	4.100000E+2
2.039560E+2	8.012600E-5	NaN	4.100100E+2	4.100100E+2
2.071040E+2	8.013400E-5	NaN	4.100100E+2	4.100100E+2
2.102030E+2	8.012900E-5	NaN	4.100100E+2	4.100100E+2
2.133210E+2	8.012800E-5	NaN	4.100100E+2	4.100100E+2
2.164730E+2	8.012600E-5	NaN	4.100100E+2	4.100100E+2
2.195930E+2	8.011700E-5	NaN	4.100100E+2	4.100100E+2
2.229110E+2	8.012400E-5	NaN	4.100100E+2	4.100100E+2
2.261280E+2	8.011600E-5	NaN	4.100100E+2	4.100100E+2
2.293120E+2	8.009700E-5	NaN	4.100200E+2	4.100200E+2
2.325090E+2	8.009000E-5	NaN	4.100200E+2	4.100200E+2
2.357360E+2	8.008400E-5	NaN	4.100100E+2	4.100100E+2
2.387940E+2	8.007500E-5	NaN	4.100100E+2	4.100100E+2
2.419690E+2	8.008100E-5	NaN	4.100000E+2	4.100000E+2
2.458580E+2	8.007500E-5	NaN	4.100000E+2	4.100000E+2
2.491140E+2	8.007200E-5	NaN	4.100000E+2	4.100000E+2
2.522140E+2	8.006800E-5	NaN	4.100000E+2	4.100000E+2
2.553540E+2	8.007300E-5	NaN	4.099900E+2	4.099900E+2
2.584700E+2	8.006000E-5	NaN	4.100000E+2	4.100000E+2
2.615550E+2	8.005000E-5	NaN	4.099900E+2	4.099900E+2
2.646700E+2	8.004000E-5	NaN	4.100000E+2	4.100000E+2
2.678460E+2	8.004200E-5	NaN	4.100000E+2	4.100000E+2
2.709110E+2	8.007000E-5	NaN	4.100000E+2	4.100000E+2
2.743040E+2	8.005400E-5	NaN	4.100000E+2	4.100000E+2
2.774860E+2	8.005900E-5	NaN	4.100000E+2	4.100000E+2
2.805800E+2	8.005700E-5	NaN	4.100000E+2	4.100000E+2
2.837150E+2	8.005100E-5	NaN	4.100000E+2	4.100000E+2
2.868480E+2	8.005300E-5	NaN	4.100000E+2	4.100000E+2
2.900100E+2	8.005200E-5	NaN	4.100000E+2	4.100000E+2
2.931600E+2	8.005400E-5	NaN	4.100000E+2	4.100000E+2
2.963610E+2	8.005300E-5	NaN	4.100000E+2	4.100000E+2
2.995100E+2	8.005900E-5	NaN	4.100000E+2	4.100000E+2
3.026290E+2	8.006400E-5	NaN	4.100000E+2	4.100000E+2
3.061350E+2	8.007500E-5	NaN	4.100000E+2	4.100000E+2
3.097090E+2	8.007400E-5	NaN	4.100000E+2	4.100000E+2
3.133910E+2	8.007700E-5	NaN	4.100100E+2	4.100100E+2
3.164950E+2	8.008100E-5	NaN	4.100100E+2	4.100100E+2
3.195740E+2	8.007500E-5	NaN	4.100100E+2	4.100100E+2
3.226990E+2	8.008000E-5	NaN	4.100100E+2	4.100100E+2
3.259650E+2	8.008000E-5	NaN	4.100100E+2	4.100100E+2
3.296880E+2	8.007700E-5	NaN	4.100100E+2	4.100100E+2
3.329130E+2	8.006500E-5	NaN	4.100100E+2	4.100100E+2
3.360100E+2	8.006700E-5	NaN	4.100100E+2	4.100100E+2
3.395250E+2	8.006800E-5	NaN	4.100100E+2	4.100100E+2
3.426750E+2	8.006800E-5	NaN	4.100100E+2	4.100100E+2
3.457710E+2	8.006700E-5	NaN	4.100100E+2	4.100100E+2
3.496090E+2	8.005800E-5	NaN	4.100100E+2	4.100100E+2
3.527030E+2	8.005400E-5	NaN	4.100200E+2	4.100200E+2
3.558640E+2	8.003400E-5	NaN	4.100100E+2	4.100100E+2
3.589400E+2	8.003100E-5	NaN	4.100100E+2	4.100100E+2
3.620190E+2	8.002600E-5	NaN	4.100000E+2	4.100000E+2
3.656840E+2	8.005300E-5	NaN	4.100000E+2	4.100000E+2
3.689270E+2	8.005000E-5	NaN	4.100000E+2	4.100000E+2
3.720220E+2	8.006400E-5	NaN	4.100000E+2	4.100000E+2
3.750870E+2	8.004900E-5	NaN	4.100000E+2	4.100000E+2
3.781650E+2	8.005300E-5	NaN	4.100100E+2	4.100100E+2
3.812270E+2	8.003900E-5	NaN	4.100000E+2	4.100000E+2
3.843240E+2	8.003400E-5	NaN	4.100000E+2	4.100000E+2
3.873920E+2	8.004100E-5	NaN	4.100000E+2	4.100000E+2
3.904960E+2	8.003800E-5	NaN	4.100000E+2	4.100000E+2
3.935750E+2	8.001800E-5	NaN	4.100100E+2	4.100100E+2
3.967100E+2	8.002500E-5	NaN	4.100100E+2	4.100100E+2
3.998280E+2	8.002600E-5	NaN	4.100100E+2	4.100100E+2
4.032360E+2	8.003500E-5	NaN	4.100000E+2	4.100000E+2
4.067080E+2	8.002600E-5	NaN	4.100000E+2	4.100000E+2
4.098400E+2	8.001600E-5	NaN	4.100000E+2	4.100000E+2
4.134940E+2	8.001000E-5	NaN	4.100000E+2	4.100000E+2
4.169030E+2	8.000800E-5	NaN	4.100100E+2	4.100100E+2
4.202910E+2	8.001400E-5	NaN	4.100000E+2	4.100000E+2
4.235690E+2	8.001100E-5	NaN	4.100000E+2	4.100000E+2
4.267170E+2	8.000800E-5	NaN	4.100100E+2	4.100100E+2
4.297940E+2	8.001400E-5	NaN	4.100100E+2	4.100100E+2
4.330950E+2	8.003100E-5	NaN	4.100100E+2	4.100100E+2
4.361600E+2	8.004000E-5	NaN	4.100100E+2	4.100100E+2
4.396600E+2	8.003500E-5	NaN	4.100000E+2	4.100000E+2
4.427460E+2	8.003200E-5	NaN	4.100000E+2	4.100000E+2
4.459700E+2	8.002900E-5	NaN	4.100000E+2	4.100000E+2
4.495860E+2	8.002700E-5	NaN	4.100100E+2	4.100100E+2
4.528930E+2	8.002900E-5	NaN	4.100100E+2	4.100100E+2
4.560660E+2	8.003200E-5	NaN	4.100000E+2	4.100000E+2
4.592570E+2	8.003000E-5	NaN	4.100100E+2	4.100100E+2
4.623650E+2	8.002600E-5	NaN	4.100000E+2	4.100000E+2
4.654500E+2	8.002600E-5	NaN	4.100000E+2	4.100000E+2
4.686320E+2	8.003000E-5	NaN	4.100000E+2	4.100000E+2
4.720920E+2	8.002300E-5	NaN	4.100100E+2	4.100100E+2
4.754200E+2	8.001700E-5	NaN	4.100100E+2	4.100100E+2
4.784610E+2	8.002000E-5	NaN	4.100100E+2	4.100100E+2
4.821240E+2	8.002400E-5	NaN	4.100000E+2	4.100000E+2
4.858230E+2	8.001200E-5	NaN	4.100100E+2	4.100100E+2
4.894250E+2	8.001600E-5	NaN	4.100100E+2	4.100100E+2
4.925780E+2	8.000300E-5	NaN	4.100000E+2	4.100000E+2
4.958020E+2	8.001900E-5	NaN	4.099900E+2	4.099900E+2
4.989550E+2	8.002000E-5	NaN	4.099900E+2	4.099900E+2
5.020710E+2	8.001300E-5	NaN	4.099900E+2	4.099900E+2
5.052750E+2	8.001600E-5	NaN	4.100000E+2	4.100000E+2
5.084470E+2	8.000400E-5	NaN	4.100000E+2	4.100000E+2
5.116280E+2	8.001100E-5	NaN	4.099900E+2	4.099900E+2
5.147940E+2	8.001100E-5	NaN	4.099900E+2	4.099900E+2
5.178850E+2	8.001600E-5	NaN	4.099900E+2	4.099900E+2
5.214950E+2	8.002300E-5	NaN	4.099900E+2	4.099900E+2
5.246650E+2	8.003500E-5	NaN	4.100000E+2	4.100000E+2
5.277770E+2	8.002500E-5	NaN	4.100000E+2	4.100000E+2
5.311270E+2	8.002600E-5	NaN	4.100100E+2	4.100100E+2
5.342830E+2	8.002200E-5	NaN	4.100100E+2	4.100100E+2
5.376240E+2	8.003400E-5	NaN	4.100200E+2	4.100200E+2
5.407610E+2	8.004400E-5	NaN	4.100200E+2	4.100200E+2
5.443370E+2	8.002200E-5	NaN	4.100100E+2	4.100100E+2
5.474780E+2	8.003100E-5	NaN	4.100100E+2	4.100100E+2
5.505830E+2	8.003100E-5	NaN	4.100200E+2	4.100200E+2
5.537980E+2	8.003400E-5	NaN	4.100200E+2	4.100200E+2
5.570910E+2	8.002500E-5	NaN	4.100200E+2	4.100200E+2
5.601610E+2	8.002000E-5	NaN	4.100100E+2	4.100100E+2
5.638850E+2	8.001900E-5	NaN	4.100100E+2	4.100100E+2
5.669770E+2	8.001100E-5	NaN	4.100100E+2	4.100100E+2
5.700460E+2	8.000100E-5	NaN	4.100000E+2	4.100000E+2
5.733110E+2	7.999800E-5	NaN	4.100000E+2	4.100000E+2
5.771050E+2	8.000300E-5	NaN	4.100000E+2	4.100000E+2
5.801920E+2	7.999900E-5	NaN	4.100000E+2	4.100000E+2
5.833320E+2	8.000100E-5	NaN	4.100000E+2	4.100000E+2
5.864010E+2	7.999600E-5	NaN	4.100000E+2	4.100000E+2
5.897460E+2	7.999300E-5	NaN	4.100000E+2	4.100000E+2
5.928420E+2	7.999100E-5	NaN	4.099900E+2	4.099900E+2
5.960270E+2	7.998300E-5	NaN	4.099900E+2	4.099900E+2
5.995390E+2	7.999600E-5	NaN	4.100000E+2	4.100000E+2
6.026540E+2	7.999400E-5	NaN	4.099900E+2	4.099900E+2
6.059170E+2	7.999300E-5	NaN	4.100000E+2	4.100000E+2
6.097710E+2	8.000000E-5	NaN	4.100000E+2	4.100000E+2
6.129210E+2	8.000300E-5	NaN	4.100000E+2	4.100000E+2
6.160330E+2	7.999000E-5	NaN	4.099900E+2	4.099900E+2
6.191380E+2	7.999400E-5	NaN	4.100000E+2	4.100000E+2
6.221810E+2	7.999500E-5	NaN	4.100000E+2	4.100000E+2
6.255060E+2	7.999900E-5	NaN	4.100100E+2	4.100100E+2
6.285730E+2	7.999500E-5	NaN	4.100100E+2	4.100100E+2
6.320100E+2	8.000600E-5	NaN	4.100100E+2	4.100100E+2
6.352410E+2	7.999800E-5	NaN	4.100100E+2	4.100100E+2
6.383140E+2	7.999300E-5	NaN	4.100200E+2	4.100200E+2
6.414480E+2	7.999800E-5	NaN	4.100200E+2	4.100200E+2
6.445860E+2	8.000400E-5	NaN	4.100100E+2	4.100100E+2
6.477040E+2	8.000400E-5	NaN	4.100100E+2	4.100100E+2
6.508180E+2	8.000600E-5	NaN	4.100100E+2	4.100100E+2
6.544150E+2	7.999500E-5	NaN	4.100000E+2	4.100000E+2
6.576930E+2	7.998800E-5	NaN	4.100000E+2	4.100000E+2
6.607610E+2	7.998200E-5	NaN	4.100000E+2	4.100000E+2
6.638330E+2	7.998000E-5	NaN	4.100100E+2	4.100100E+2
6.669130E+2	7.998200E-5	NaN	4.100000E+2	4.100000E+2
6.703200E+2	7.996900E-5	NaN	4.100000E+2	4.100000E+2
6.734080E+2	7.996700E-5	NaN	4.099900E+2	4.099900E+2
6.764700E+2	7.997100E-5	NaN	4.100000E+2	4.100000E+2
6.795780E+2	7.998300E-5	NaN	4.100000E+2	4.100000E+2
6.826390E+2	7.998800E-5	NaN	4.100000E+2	4.100000E+2
6.857520E+2	7.997700E-5	NaN	4.100100E+2	4.100100E+2
6.891500E+2	7.998800E-5	NaN	4.100100E+2	4.100100E+2
6.922600E+2	7.999100E-5	NaN	4.100000E+2	4.100000E+2
6.953530E+2	7.999300E-5	NaN	4.100000E+2	4.100000E+2
6.986150E+2	7.999500E-5	NaN	4.100100E+2	4.100100E+2
7.017180E+2	8.000200E-5	NaN	4.100100E+2	4.100100E+2
7.047880E+2	7.998700E-5	NaN	4.100100E+2	4.100100E+2
7.078990E+2	7.998600E-5	NaN	4.100100E+2	4.100100E+2
7.110110E+2	7.998600E-5	NaN	4.100100E+2	4.100100E+2
7.141310E+2	7.998100E-5	NaN	4.100100E+2	4.100100E+2
7.172830E+2	7.998000E-5	NaN	4.100000E+2	4.100000E+2
7.204570E+2	7.997900E-5	NaN	4.100000E+2	4.100000E+2
7.235570E+2	7.997300E-5	NaN	4.100000E+2	4.100000E+2
7.269000E+2	7.997700E-5	NaN	4.100000E+2	4.100000E+2
7.302880E+2	7.997200E-5	NaN	4.099900E+2	4.099900E+2
7.336760E+2	7.996700E-5	NaN	4.099900E+2	4.099900E+2
7.367620E+2	7.997200E-5	NaN	4.099900E+2	4.099900E+2
7.398670E+2	7.996800E-5	NaN	4.100000E+2	4.100000E+2
7.429530E+2	7.996400E-5	NaN	4.099900E+2	4.099900E+2
7.460670E+2	7.996200E-5	NaN	4.099900E+2	4.099900E+2
7.491770E+2	7.996300E-5	NaN	4.100000E+2	4.100000E+2
7.523020E+2	7.996700E-5	NaN	4.100000E+2	4.100000E+2
7.554560E+2	7.997000E-5	NaN	4.100100E+2	4.100100E+2
7.586230E+2	7.996500E-5	NaN	4.100100E+2	4.100100E+2
7.617630E+2	7.996800E-5	NaN	4.100100E+2	4.100100E+2
7.648130E+2	7.996500E-5	NaN	4.100100E+2	4.100100E+2
7.679270E+2	7.997000E-5	NaN	4.100100E+2	4.100100E+2
7.711260E+2	7.997800E-5	NaN	4.100100E+2	4.100100E+2
7.743200E+2	7.998000E-5	NaN	4.100000E+2	4.100000E+2
7.775500E+2	7.997600E-5	NaN	4.100000E+2	4.100000E+2
7.806830E+2	7.996100E-5	NaN	4.100000E+2	4.100000E+2
7.838280E+2	7.997500E-5	NaN	4.100100E+2	4.100100E+2
7.869180E+2	7.996300E-5	NaN	4.100100E+2	4.100100E+2
7.904820E+2	7.996700E-5	NaN	4.100100E+2	4.100100E+2
7.936730E+2	7.995300E-5	NaN	4.100000E+2	4.100000E+2
7.967880E+2	7.996200E-5	NaN	4.100000E+2	4.100000E+2
7.999040E+2	7.996000E-5	NaN	4.100100E+2	4.100100E+2
8.030780E+2	7.996900E-5	NaN	4.100000E+2	4.100000E+2
8.061880E+2	7.997400E-5	NaN	4.100000E+2	4.100000E+2
8.093160E+2	7.996200E-5	NaN	4.100000E+2	4.100000E+2
8.124790E+2	7.996500E-5	NaN	4.100000E+2	4.100000E+2
8.155830E+2	7.996300E-5	NaN	4.100000E+2	4.100000E+2
8.187350E+2	7.995500E-5	NaN	4.100000E+2	4.100000E+2
8.219850E+2	7.995400E-5	NaN	4.100000E+2	4.100000E+2
8.250530E+2	7.996400E-5	NaN	4.100000E+2	4.100000E+2
8.281740E+2	7.996500E-5	NaN	4.099900E+2	4.099900E+2
8.319890E+2	7.996700E-5	NaN	4.100000E+2	4.100000E+2
8.350880E+2	7.996800E-5	NaN	4.099900E+2	4.099900E+2
8.382440E+2	7.997200E-5	NaN	4.099900E+2	4.099900E+2
8.413440E+2	7.997700E-5	NaN	4.099900E+2	4.099900E+2
8.448080E+2	7.997900E-5	NaN	4.099900E+2	4.099900E+2
8.480660E+2	7.997600E-5	NaN	4.100000E+2	4.100000E+2
8.511280E+2	7.997900E-5	NaN	4.100000E+2	4.100000E+2
8.545360E+2	7.998500E-5	NaN	4.099900E+2	4.099900E+2
8.576260E+2	7.999300E-5	NaN	4.099900E+2	4.099900E+2
8.612860E+2	7.999800E-5	NaN	4.099900E+2	4.099900E+2
8.644500E+2	8.000300E-5	NaN	4.100000E+2	4.100000E+2
8.675730E+2	8.000900E-5	NaN	4.100000E+2	4.100000E+2
8.708360E+2	8.001600E-5	NaN	4.100000E+2	4.100000E+2
8.739240E+2	8.001400E-5	NaN	4.100000E+2	4.100000E+2
8.770570E+2	8.001400E-5	NaN	4.100000E+2	4.100000E+2
8.801510E+2	8.001200E-5	NaN	4.100000E+2	4.100000E+2
8.832120E+2	8.000900E-5	NaN	4.100100E+2	4.100100E+2
8.865420E+2	8.001400E-5	NaN	4.100100E+2	4.100100E+2
8.897030E+2	8.002100E-5	NaN	4.100100E+2	4.100100E+2
8.927620E+2	8.002000E-5	NaN	4.100100E+2	4.100100E+2
8.960410E+2	8.002800E-5	NaN	4.100100E+2	4.100100E+2
8.994360E+2	8.002600E-5	NaN	4.100100E+2	4.100100E+2
9.025310E+2	8.002100E-5	NaN	4.100200E+2	4.100200E+2
9.060780E+2	8.002100E-5	NaN	4.100100E+2	4.100100E+2
9.093140E+2	8.002100E-5	NaN	4.100200E+2	4.100200E+2
9.124560E+2	8.000500E-5	NaN	4.100100E+2	4.100100E+2
9.155510E+2	7.999600E-5	NaN	4.100100E+2	4.100100E+2
9.186730E+2	8.000800E-5	NaN	4.100100E+2	4.100100E+2
9.218560E+2	8.000300E-5	NaN	4.100000E+2	4.100000E+2
9.251260E+2	8.000700E-5	NaN	4.100000E+2	4.100000E+2
9.282670E+2	8.000100E-5	NaN	4.099900E+2	4.099900E+2
9.313660E+2	7.999200E-5	NaN	4.099900E+2	4.099900E+2
9.348440E+2	7.999200E-5	NaN	4.100000E+2	4.100000E+2
9.380210E+2	7.999700E-5	NaN	4.100100E+2	4.100100E+2
9.411950E+2	7.999100E-5	NaN	4.100100E+2	4.100100E+2
9.443450E+2	7.998200E-5	NaN	4.100100E+2	4.100100E+2
9.474440E+2	7.999300E-5	NaN	4.100100E+2	4.100100E+2
9.505440E+2	7.998400E-5	NaN	4.100000E+2	4.100000E+2
9.536050E+2	7.998700E-5	NaN	4.099900E+2	4.099900E+2
9.567510E+2	7.999300E-5	NaN	4.099900E+2	4.099900E+2
9.598670E+2	7.999000E-5	NaN	4.099900E+2	4.099900E+2
9.629770E+2	8.000100E-5	NaN	4.100000E+2	4.100000E+2
9.662530E+2	8.001200E-5	NaN	4.100000E+2	4.100000E+2
9.694690E+2	8.000500E-5	NaN	4.100000E+2	4.100000E+2
9.725550E+2	8.000400E-5	NaN	4.100100E+2	4.100100E+2
9.756530E+2	8.001100E-5	NaN	4.100100E+2	4.100100E+2
9.787300E+2	8.000400E-5	NaN	4.100100E+2	4.100100E+2
9.818050E+2	8.000900E-5	NaN	4.100100E+2	4.100100E+2
9.848990E+2	8.000200E-5	NaN	4.100100E+2	4.100100E+2
9.879810E+2	7.999500E-5	NaN	4.100100E+2	4.100100E+2
9.911290E+2	8.000600E-5	NaN	4.100000E+2	4.100000E+2
9.945820E+2	8.000100E-5	NaN	4.100000E+2	4.100000E+2
9.976730E+2	7.998900E-5	NaN	4.100000E+2	4.100000E+2
1.000899E+3	7.998000E-5	NaN	4.100000E+2	4.100000E+2
1.003997E+3	7.998200E-5	NaN	4.100000E+2	4.100000E+2
1.007134E+3	7.998400E-5	NaN	4.100000E+2	4.100000E+2
1.010221E+3	7.998200E-5	NaN	4.099900E+2	4.099900E+2
1.013650E+3	7.997900E-5	NaN	4.099900E+2	4.099900E+2
1.017582E+3	7.997700E-5	NaN	4.099900E+2	4.099900E+2
1.020663E+3	7.997700E-5	NaN	4.099900E+2	4.099900E+2
1.023737E+3	7.997900E-5	NaN	4.099900E+2	4.099900E+2
1.026835E+3	7.998100E-5	NaN	4.099900E+2	4.099900E+2
1.029914E+3	7.999200E-5	NaN	4.099900E+2	4.099900E+2
1.033009E+3	7.999400E-5	NaN	4.100000E+2	4.100000E+2
1.036382E+3	7.999600E-5	NaN	4.099900E+2	4.099900E+2
1.040291E+3	8.000100E-5	NaN	4.100000E+2	4.100000E+2
1.043806E+3	8.000500E-5	NaN	4.099900E+2	4.099900E+2
1.047475E+3	8.000700E-5	NaN	4.100000E+2	4.100000E+2
1.050550E+3	8.000700E-5	NaN	4.100100E+2	4.100100E+2
1.053860E+3	8.001400E-5	NaN	4.100100E+2	4.100100E+2
1.057160E+3	8.002700E-5	NaN	4.100200E+2	4.100200E+2
1.060280E+3	8.001500E-5	NaN	4.100100E+2	4.100100E+2
1.063720E+3	8.002400E-5	NaN	4.100100E+2	4.100100E+2
1.066847E+3	8.002200E-5	NaN	4.100000E+2	4.100000E+2
1.069926E+3	8.002100E-5	NaN	4.100100E+2	4.100100E+2
1.073242E+3	8.001300E-5	NaN	4.100100E+2	4.100100E+2
1.076466E+3	8.001700E-5	NaN	4.100100E+2	4.100100E+2
1.079653E+3	8.000600E-5	NaN	4.100100E+2	4.100100E+2
1.082771E+3	8.000400E-5	NaN	4.100100E+2	4.100100E+2
1.086212E+3	8.000700E-5	NaN	4.100100E+2	4.100100E+2
1.089407E+3	8.000000E-5	NaN	4.100000E+2	4.100000E+2
1.092666E+3	7.999300E-5	NaN	4.100000E+2	4.100000E+2
1.095850E+3	7.999500E-5	NaN	4.100000E+2	4.100000E+2
1.099127E+3	7.998800E-5	NaN	4.100000E+2	4.100000E+2
1.102185E+3	7.998400E-5	NaN	4.099900E+2	4.099900E+2
1.105367E+3	7.998700E-5	NaN	4.100000E+2	4.100000E+2
1.108544E+3	7.998500E-5	NaN	4.100000E+2	4.100000E+2
1.111972E+3	7.999200E-5	NaN	4.100100E+2	4.100100E+2
1.115136E+3	7.998800E-5	NaN	4.100100E+2	4.100100E+2
1.118212E+3	7.998900E-5	NaN	4.100100E+2	4.100100E+2
1.121353E+3	7.998900E-5	NaN	4.100100E+2	4.100100E+2
1.124920E+3	7.998600E-5	NaN	4.100100E+2	4.100100E+2
1.128355E+3	7.998200E-5	NaN	4.100100E+2	4.100100E+2
1.131534E+3	7.997800E-5	NaN	4.100000E+2	4.100000E+2
1.134633E+3	7.998100E-5	NaN	4.100000E+2	4.100000E+2
1.137909E+3	7.998100E-5	NaN	4.100000E+2	4.100000E+2
1.141089E+3	7.997700E-5	NaN	4.100000E+2	4.100000E+2
1.144163E+3	7.997400E-5	NaN	4.099900E+2	4.099900E+2
1.148081E+3	7.996300E-5	NaN	4.099800E+2	4.099800E+2
1.151211E+3	7.996600E-5	NaN	4.099800E+2	4.099800E+2
1.154293E+3	7.997300E-5	NaN	4.099900E+2	4.099900E+2
1.157539E+3	7.997100E-5	NaN	4.100000E+2	4.100000E+2
1.160636E+3	7.997400E-5	NaN	4.099900E+2	4.099900E+2
1.163824E+3	7.998100E-5	NaN	4.099900E+2	4.099900E+2
1.166972E+3	7.998600E-5	NaN	4.100000E+2	4.100000E+2
1.170081E+3	7.998600E-5	NaN	4.100000E+2	4.100000E+2
1.173180E+3	7.998000E-5	NaN	4.100100E+2	4.100100E+2
1.176956E+3	7.998700E-5	NaN	4.100200E+2	4.100200E+2
1.180122E+3	7.998800E-5	NaN	4.100100E+2	4.100100E+2
1.183296E+3	7.998600E-5	NaN	4.100100E+2	4.100100E+2
1.186370E+3	7.999200E-5	NaN	4.100100E+2	4.100100E+2
1.189456E+3	7.999100E-5	NaN	4.100100E+2	4.100100E+2
1.192917E+3	7.998200E-5	NaN	4.100100E+2	4.100100E+2
1.196187E+3	7.998800E-5	NaN	4.100100E+2	4.100100E+2
1.199324E+3	7.998600E-5	NaN	4.100000E+2	4.100000E+2
1.202856E+3	7.998600E-5	NaN	4.100100E+2	4.100100E+2
1.206622E+3	7.998300E-5	NaN	4.100000E+2	4.100000E+2
1.209857E+3	7.997600E-5	NaN	4.100000E+2	4.100000E+2
1.212973E+3	7.997900E-5	NaN	4.100000E+2	4.100000E+2
1.216129E+3	7.997500E-5	NaN	4.100000E+2	4.100000E+2
