Time (s),Temperature (K),1/kT (1/eV),Rate (K/min),Current (A),Current Std Dev/Mean,Conductivity (Ohm-cm)^-1,Ea (eV),Reduced Ea
2.01E+01,2.9604000E+02,3.9163630E+01,3.2309340E-01,1.6476600E-07,NaN,1.6476600E-06,NaN,NaN
3.49E+01,2.9630000E+02,3.9129260E+01,5.4062120E-01,1.6672900E-07,NaN,1.6672900E-06,NaN,NaN
4.37E+01,2.9660000E+02,3.9089680E+01,8.9739910E-01,1.6942200E-07,NaN,1.6942200E-06,NaN,NaN
4.68E+01,2.9675000E+02,3.9069920E+01,1.0934260E+00,1.7080000E-07,NaN,1.7080000E-06,NaN,NaN
5.29E+01,2.9714000E+02,3.9018640E+01,1.6324630E+00,1.7420400E-07,NaN,1.7420400E-06,NaN,NaN
5.58E+01,2.9736000E+02,3.8989780E+01,1.9597020E+00,1.7620100E-07,NaN,1.7620100E-06,NaN,NaN
5.89E+01,2.9767000E+02,3.8949170E+01,2.3275560E+00,1.7858700E-07,NaN,1.7858700E-06,NaN,NaN
6.21E+01,2.9785000E+02,3.8925630E+01,2.7603460E+00,1.8142800E-07,NaN,1.8142800E-06,NaN,NaN
6.50E+01,2.9811000E+02,3.8891680E+01,3.1250070E+00,1.8410500E-07,NaN,1.8410500E-06,NaN,NaN
6.80E+01,2.9838000E+02,3.8856490E+01,3.5026590E+00,1.8723200E-07,NaN,1.8723200E-06,NaN,NaN
7.09E+01,2.9866000E+02,3.8820060E+01,3.8726220E+00,1.9031200E-07,NaN,1.9031200E-06,NaN,NaN
7.38E+01,2.9897000E+02,3.8779810E+01,4.2336050E+00,1.9358500E-07,NaN,1.9358500E-06,NaN,NaN
7.71E+01,2.9926000E+02,3.8742230E+01,4.5646530E+00,1.9751400E-07,NaN,1.9751400E-06,NaN,NaN
8.00E+01,2.9955000E+02,3.8704720E+01,4.8463010E+00,2.0104500E-07,NaN,2.0104500E-06,NaN,NaN
8.30E+01,2.9983000E+02,3.8668580E+01,5.0913990E+00,2.0485500E-07,NaN,2.0485500E-06,NaN,NaN
8.59E+01,3.0011000E+02,3.8632500E+01,5.2741580E+00,2.0855000E-07,NaN,2.0855000E-06,NaN,NaN
8.86E+01,3.0039000E+02,3.8596490E+01,5.4381070E+00,2.1223000E-07,NaN,2.1223000E-06,NaN,NaN
9.17E+01,3.0066000E+02,3.8561830E+01,5.5585150E+00,2.1629000E-07,NaN,2.1629000E-06,4.37E-01,1.70E+01
9.46E+01,3.0092000E+02,3.8528510E+01,5.6358580E+00,2.2009000E-07,NaN,2.2009000E-06,4.41E-01,1.72E+01
9.74E+01,3.0112000E+02,3.8502920E+01,5.7294020E+00,2.2388000E-07,NaN,2.2388000E-06,4.45E-01,1.73E+01
1.00E+02,3.0138000E+02,3.8469710E+01,5.6744530E+00,2.2774000E-07,NaN,2.2774000E-06,4.49E-01,1.75E+01
1.03E+02,3.0164000E+02,3.8436550E+01,5.6033470E+00,2.3168000E-07,NaN,2.3168000E-06,4.53E-01,1.76E+01
1.06E+02,3.0190000E+02,3.8403440E+01,5.5098580E+00,2.3574000E-07,NaN,2.3574000E-06,4.57E-01,1.78E+01
1.09E+02,3.0215000E+02,3.8371670E+01,5.4112050E+00,2.3980000E-07,NaN,2.3980000E-06,4.60E-01,1.79E+01
1.12E+02,3.0240000E+02,3.8339950E+01,5.3308560E+00,2.4351000E-07,NaN,2.4351000E-06,4.64E-01,1.80E+01
1.15E+02,3.0265000E+02,3.8308280E+01,5.2539630E+00,2.4741000E-07,NaN,2.4741000E-06,4.66E-01,1.81E+01
1.18E+02,3.0290000E+02,3.8276660E+01,5.1958720E+00,2.5158000E-07,NaN,2.5158000E-06,4.69E-01,1.82E+01
1.21E+02,3.0317000E+02,3.8242570E+01,5.1404160E+00,2.5576000E-07,NaN,2.5576000E-06,4.71E-01,1.83E+01
1.24E+02,3.0343000E+02,3.8209800E+01,5.1166300E+00,2.5990000E-07,NaN,2.5990000E-06,4.73E-01,1.83E+01
1.27E+02,3.0369000E+02,3.8177090E+01,5.1349340E+00,2.6422000E-07,NaN,2.6422000E-06,4.74E-01,1.84E+01
1.30E+02,3.0394000E+02,3.8145690E+01,5.1589220E+00,2.6849000E-07,NaN,2.6849000E-06,4.76E-01,1.84E+01
1.33E+02,3.0420000E+02,3.8113080E+01,5.1939650E+00,2.7294000E-07,NaN,2.7294000E-06,4.77E-01,1.85E+01
1.36E+02,3.0438000E+02,3.8090540E+01,5.2012290E+00,2.7750000E-07,NaN,2.7750000E-06,4.79E-01,1.85E+01
1.39E+02,3.0464000E+02,3.8058040E+01,5.1570660E+00,2.8195000E-07,NaN,2.8195000E-06,4.80E-01,1.86E+01
1.42E+02,3.0491000E+02,3.8024340E+01,5.1298950E+00,2.8663000E-07,NaN,2.8663000E-06,4.82E-01,1.86E+01
1.45E+02,3.0517000E+02,3.7991940E+01,5.1196010E+00,2.9147000E-07,NaN,2.9147000E-06,4.83E-01,1.87E+01
1.48E+02,3.0545000E+02,3.7957110E+01,5.1018470E+00,2.9651000E-07,NaN,2.9651000E-06,4.84E-01,1.87E+01
1.51E+02,3.0571000E+02,3.7924830E+01,5.1100640E+00,3.0165000E-07,NaN,3.0165000E-06,4.86E-01,1.88E+01
1.54E+02,3.0595000E+02,3.7895080E+01,5.1206490E+00,3.0641000E-07,NaN,3.0641000E-06,4.87E-01,1.88E+01
1.57E+02,3.0621000E+02,3.7862900E+01,5.1206800E+00,3.1178000E-07,NaN,3.1178000E-06,4.88E-01,1.88E+01
1.60E+02,3.0647000E+02,3.7830780E+01,5.1238300E+00,3.1679000E-07,NaN,3.1679000E-06,4.89E-01,1.89E+01
1.63E+02,3.0673000E+02,3.7798720E+01,5.1466980E+00,3.2217000E-07,NaN,3.2217000E-06,4.90E-01,1.89E+01
1.65E+02,3.0700000E+02,3.7765470E+01,5.1670270E+00,3.2716000E-07,NaN,3.2716000E-06,4.91E-01,1.89E+01
1.68E+02,3.0726000E+02,3.7733520E+01,5.2152690E+00,3.3246000E-07,NaN,3.3246000E-06,4.91E-01,1.89E+01
1.71E+02,3.0752000E+02,3.7701610E+01,5.2745560E+00,3.3798000E-07,NaN,3.3798000E-06,4.92E-01,1.90E+01
1.74E+02,3.0778000E+02,3.7669760E+01,5.2719630E+00,3.4343000E-07,NaN,3.4343000E-06,4.93E-01,1.90E+01
1.77E+02,3.0795000E+02,3.7648970E+01,5.2708030E+00,3.4898000E-07,NaN,3.4898000E-06,4.93E-01,1.90E+01
1.80E+02,3.0821000E+02,3.7617210E+01,5.2132580E+00,3.5454000E-07,NaN,3.5454000E-06,4.94E-01,1.90E+01
1.83E+02,3.0847000E+02,3.7585500E+01,5.1661930E+00,3.6013000E-07,NaN,3.6013000E-06,4.96E-01,1.91E+01
1.86E+02,3.0873000E+02,3.7553850E+01,5.1402990E+00,3.6648000E-07,NaN,3.6648000E-06,4.97E-01,1.91E+01
1.89E+02,3.0900000E+02,3.7521040E+01,5.1099070E+00,3.7211000E-07,NaN,3.7211000E-06,4.98E-01,1.91E+01
1.92E+02,3.0926000E+02,3.7489490E+01,5.1058650E+00,3.7806000E-07,NaN,3.7806000E-06,4.99E-01,1.92E+01
1.95E+02,3.0953000E+02,3.7456790E+01,5.0991100E+00,3.8400000E-07,NaN,3.8400000E-06,5.01E-01,1.92E+01
1.98E+02,3.0978000E+02,3.7426560E+01,5.1188150E+00,3.9057000E-07,NaN,3.9057000E-06,5.02E-01,1.93E+01
2.01E+02,3.1004000E+02,3.7395170E+01,5.1191000E+00,3.9665000E-07,NaN,3.9665000E-06,5.03E-01,1.93E+01
2.04E+02,3.1030000E+02,3.7363840E+01,5.1554560E+00,4.0330000E-07,NaN,4.0330000E-06,5.05E-01,1.93E+01
2.07E+02,3.1056000E+02,3.7332560E+01,5.1978090E+00,4.0991000E-07,NaN,4.0991000E-06,5.06E-01,1.94E+01
2.10E+02,3.1082000E+02,3.7301330E+01,5.2452880E+00,4.1648000E-07,NaN,4.1648000E-06,5.07E-01,1.94E+01
2.13E+02,3.1109000E+02,3.7268960E+01,5.3050630E+00,4.2330000E-07,NaN,4.2330000E-06,5.08E-01,1.94E+01
2.16E+02,3.1136000E+02,3.7236640E+01,5.3041540E+00,4.2996000E-07,NaN,4.2996000E-06,5.10E-01,1.95E+01
2.18E+02,3.1154000E+02,3.7215120E+01,5.3143160E+00,4.3698000E-07,NaN,4.3698000E-06,5.11E-01,1.95E+01
2.21E+02,3.1180000E+02,3.7184090E+01,5.2582100E+00,4.4411000E-07,NaN,4.4411000E-06,5.12E-01,1.95E+01
2.24E+02,3.1206000E+02,3.7153110E+01,5.1937820E+00,4.5121000E-07,NaN,4.5121000E-06,5.13E-01,1.96E+01
2.27E+02,3.1232000E+02,3.7122180E+01,5.1596400E+00,4.5834000E-07,NaN,4.5834000E-06,5.15E-01,1.96E+01
2.30E+02,3.1258000E+02,3.7091300E+01,5.1375170E+00,4.6561000E-07,NaN,4.6561000E-06,5.16E-01,1.96E+01
2.33E+02,3.1285000E+02,3.7059290E+01,5.1420130E+00,4.7347000E-07,NaN,4.7347000E-06,5.17E-01,1.96E+01
2.36E+02,3.1312000E+02,3.7027340E+01,5.1364690E+00,4.8125000E-07,NaN,4.8125000E-06,5.17E-01,1.97E+01
2.39E+02,3.1340000E+02,3.6994260E+01,5.1481720E+00,4.8908000E-07,NaN,4.8908000E-06,5.18E-01,1.97E+01
2.42E+02,3.1368000E+02,3.6961230E+01,5.1807290E+00,4.9742000E-07,NaN,4.9742000E-06,5.18E-01,1.97E+01
2.45E+02,3.1395000E+02,3.6929450E+01,5.2232550E+00,5.0550000E-07,NaN,5.0550000E-06,5.19E-01,1.97E+01
2.48E+02,3.1423000E+02,3.6896540E+01,5.2831050E+00,5.1372000E-07,NaN,5.1372000E-06,5.19E-01,1.97E+01
2.51E+02,3.1441000E+02,3.6875420E+01,5.3679590E+00,5.2205000E-07,NaN,5.2205000E-06,5.19E-01,1.96E+01
2.54E+02,3.1468000E+02,3.6843780E+01,5.4088580E+00,5.3081000E-07,NaN,5.3081000E-06,5.19E-01,1.96E+01
2.57E+02,3.1495000E+02,3.6812190E+01,5.3952280E+00,5.3939000E-07,NaN,5.3939000E-06,5.20E-01,1.96E+01
2.60E+02,3.1523000E+02,3.6779490E+01,5.3840170E+00,5.4830000E-07,NaN,5.4830000E-06,5.20E-01,1.96E+01
2.63E+02,3.1551000E+02,3.6746850E+01,5.3826630E+00,5.5733000E-07,NaN,5.5733000E-06,5.20E-01,1.96E+01
2.66E+02,3.1577000E+02,3.6716600E+01,5.3904530E+00,5.6644000E-07,NaN,5.6644000E-06,5.20E-01,1.96E+01
2.68E+02,3.1603000E+02,3.6686390E+01,5.3929870E+00,5.7530000E-07,NaN,5.7530000E-06,5.20E-01,1.96E+01
2.72E+02,3.1630000E+02,3.6655070E+01,5.3911950E+00,5.8513000E-07,NaN,5.8513000E-06,5.20E-01,1.95E+01
2.75E+02,3.1657000E+02,3.6623810E+01,5.3750350E+00,5.9484000E-07,NaN,5.9484000E-06,5.20E-01,1.95E+01
2.77E+02,3.1683000E+02,3.6593760E+01,5.3762830E+00,6.0431000E-07,NaN,6.0431000E-06,5.20E-01,1.95E+01
2.80E+02,3.1709000E+02,3.6563750E+01,5.3811440E+00,6.1367000E-07,NaN,6.1367000E-06,5.20E-01,1.95E+01
2.83E+02,3.1735000E+02,3.6533800E+01,5.3964410E+00,6.2401000E-07,NaN,6.2401000E-06,5.21E-01,1.95E+01
2.87E+02,3.1761000E+02,3.6503890E+01,5.4211410E+00,6.3421000E-07,NaN,6.3421000E-06,5.21E-01,1.95E+01
2.90E+02,3.1788000E+02,3.6472880E+01,5.3724450E+00,6.4423000E-07,NaN,6.4423000E-06,5.21E-01,1.95E+01
2.93E+02,3.1814000E+02,3.6443080E+01,5.3332740E+00,6.5469000E-07,NaN,6.5469000E-06,5.21E-01,1.95E+01
2.96E+02,3.1840000E+02,3.6413320E+01,5.2909250E+00,6.6560000E-07,NaN,6.6560000E-06,5.22E-01,1.95E+01
2.99E+02,3.1866000E+02,3.6383610E+01,5.2452420E+00,6.7549000E-07,NaN,6.7549000E-06,5.22E-01,1.95E+01
3.02E+02,3.1892000E+02,3.6353940E+01,5.2210470E+00,6.8663000E-07,NaN,6.8663000E-06,5.22E-01,1.95E+01
3.05E+02,3.1918000E+02,3.6324330E+01,5.1957140E+00,6.9694000E-07,NaN,6.9694000E-06,5.22E-01,1.95E+01
3.08E+02,3.1944000E+02,3.6294770E+01,5.1869250E+00,7.0812000E-07,NaN,7.0812000E-06,5.23E-01,1.95E+01
3.11E+02,3.1971000E+02,3.6264110E+01,5.1726910E+00,7.1872000E-07,NaN,7.1872000E-06,5.23E-01,1.94E+01
3.14E+02,3.1997000E+02,3.6234650E+01,5.1872450E+00,7.3025000E-07,NaN,7.3025000E-06,5.23E-01,1.94E+01
3.17E+02,3.2023000E+02,3.6205230E+01,5.1991000E+00,7.4183000E-07,NaN,7.4183000E-06,5.23E-01,1.94E+01
3.20E+02,3.2049000E+02,3.6175860E+01,5.2147280E+00,7.5362000E-07,NaN,7.5362000E-06,5.23E-01,1.94E+01
3.23E+02,3.2075000E+02,3.6146530E+01,5.2216770E+00,7.6516000E-07,NaN,7.6516000E-06,5.24E-01,1.94E+01
3.26E+02,3.2101000E+02,3.6117250E+01,5.2238820E+00,7.7687000E-07,NaN,7.7687000E-06,5.24E-01,1.94E+01
3.29E+02,3.2128000E+02,3.6086900E+01,5.2401670E+00,7.8944000E-07,NaN,7.8944000E-06,5.24E-01,1.94E+01
3.32E+02,3.2154000E+02,3.6057720E+01,5.2565750E+00,8.0183000E-07,NaN,8.0183000E-06,5.24E-01,1.94E+01
3.35E+02,3.2182000E+02,3.6026350E+01,5.2540140E+00,8.1516000E-07,NaN,8.1516000E-06,5.24E-01,1.94E+01
3.38E+02,3.2209000E+02,3.5996150E+01,5.2591940E+00,8.2805000E-07,NaN,8.2805000E-06,5.25E-01,1.94E+01
3.41E+02,3.2235000E+02,3.5967120E+01,5.2580460E+00,8.4196000E-07,NaN,8.4196000E-06,5.25E-01,1.94E+01
3.44E+02,3.2262000E+02,3.5937020E+01,5.2479950E+00,8.5427000E-07,NaN,8.5427000E-06,5.25E-01,1.94E+01
3.47E+02,3.2290000E+02,3.5905850E+01,5.2549860E+00,8.6815000E-07,NaN,8.6815000E-06,5.25E-01,1.93E+01
3.50E+02,3.2317000E+02,3.5875850E+01,5.2905660E+00,8.8243000E-07,NaN,8.8243000E-06,5.25E-01,1.93E+01
3.53E+02,3.2345000E+02,3.5844800E+01,5.3189620E+00,8.9620000E-07,NaN,8.9620000E-06,5.25E-01,1.93E+01
3.56E+02,3.2372000E+02,3.5814900E+01,5.3572800E+00,9.1206000E-07,NaN,9.1206000E-06,5.25E-01,1.93E+01
3.59E+02,3.2401000E+02,3.5782850E+01,5.3749450E+00,9.2657000E-07,NaN,9.2657000E-06,5.25E-01,1.93E+01
3.62E+02,3.2428000E+02,3.5753050E+01,5.4046530E+00,9.4254000E-07,NaN,9.4254000E-06,5.26E-01,1.93E+01
3.65E+02,3.2455000E+02,3.5723310E+01,5.4237370E+00,9.5769000E-07,NaN,9.5769000E-06,5.26E-01,1.93E+01
3.68E+02,3.2482000E+02,3.5693610E+01,5.4397480E+00,9.7435000E-07,NaN,9.7435000E-06,5.26E-01,1.93E+01
3.71E+02,3.2509000E+02,3.5663970E+01,5.4296100E+00,9.9073000E-07,NaN,9.9073000E-06,5.27E-01,1.93E+01
3.74E+02,3.2534000E+02,3.5636560E+01,5.4126670E+00,1.0061900E-06,NaN,1.0061900E-05,5.27E-01,1.93E+01
3.77E+02,3.2561000E+02,3.5607010E+01,5.3764870E+00,1.0225000E-06,NaN,1.0225000E-05,5.27E-01,1.93E+01
3.80E+02,3.2587000E+02,3.5578600E+01,5.3190220E+00,1.0383400E-06,NaN,1.0383400E-05,5.28E-01,1.93E+01
3.84E+02,3.2615000E+02,3.5548060E+01,5.2772020E+00,1.0553700E-06,NaN,1.0553700E-05,5.28E-01,1.92E+01
3.87E+02,3.2641000E+02,3.5519750E+01,5.2468500E+00,1.0720700E-06,NaN,1.0720700E-05,5.28E-01,1.92E+01
3.90E+02,3.2666000E+02,3.5492560E+01,5.2071430E+00,1.0884600E-06,NaN,1.0884600E-05,5.29E-01,1.92E+01
3.93E+02,3.2692000E+02,3.5464330E+01,5.1741990E+00,1.1045000E-06,NaN,1.1045000E-05,5.29E-01,1.92E+01
3.96E+02,3.2717000E+02,3.5437230E+01,5.1426830E+00,1.1216800E-06,NaN,1.1216800E-05,5.29E-01,1.92E+01
3.99E+02,3.2743000E+02,3.5409100E+01,5.1228350E+00,1.1383700E-06,NaN,1.1383700E-05,5.29E-01,1.92E+01
4.02E+02,3.2768000E+02,3.5382080E+01,5.1068540E+00,1.1551200E-06,NaN,1.1551200E-05,5.30E-01,1.92E+01
4.05E+02,3.2794000E+02,3.5354030E+01,5.0983360E+00,1.1718400E-06,NaN,1.1718400E-05,5.30E-01,1.92E+01
4.08E+02,3.2821000E+02,3.5324940E+01,5.0987780E+00,1.1897200E-06,NaN,1.1897200E-05,5.31E-01,1.92E+01
4.11E+02,3.2846000E+02,3.5298060E+01,5.1094530E+00,1.2077400E-06,NaN,1.2077400E-05,5.31E-01,1.92E+01
4.14E+02,3.2872000E+02,3.5270140E+01,5.1021610E+00,1.2249200E-06,NaN,1.2249200E-05,5.32E-01,1.92E+01
4.17E+02,3.2897000E+02,3.5243340E+01,5.1126080E+00,1.2427500E-06,NaN,1.2427500E-05,5.32E-01,1.92E+01
4.20E+02,3.2923000E+02,3.5215500E+01,5.1257880E+00,1.2617000E-06,NaN,1.2617000E-05,5.32E-01,1.92E+01
4.23E+02,3.2949000E+02,3.5187710E+01,5.1478890E+00,1.2805100E-06,NaN,1.2805100E-05,5.33E-01,1.92E+01
4.26E+02,3.2975000E+02,3.5159970E+01,5.1692940E+00,1.2995100E-06,NaN,1.2995100E-05,5.33E-01,1.92E+01
4.29E+02,3.3002000E+02,3.5131200E+01,5.1838400E+00,1.3203700E-06,NaN,1.3203700E-05,5.33E-01,1.92E+01
4.32E+02,3.3029000E+02,3.5102490E+01,5.2011770E+00,1.3400500E-06,NaN,1.3400500E-05,5.33E-01,1.92E+01
4.35E+02,3.3056000E+02,3.5073810E+01,5.2146400E+00,1.3597500E-06,NaN,1.3597500E-05,5.33E-01,1.92E+01
4.38E+02,3.3082000E+02,3.5046250E+01,5.2378940E+00,1.3803600E-06,NaN,1.3803600E-05,5.34E-01,1.92E+01
4.41E+02,3.3109000E+02,3.5017670E+01,5.2530270E+00,1.4007000E-06,NaN,1.4007000E-05,5.34E-01,1.92E+01
4.44E+02,3.3126000E+02,3.4999700E+01,5.2813720E+00,1.4214400E-06,NaN,1.4214400E-05,5.34E-01,1.92E+01
4.46E+02,3.3152000E+02,3.4972250E+01,5.2405390E+00,1.4414000E-06,NaN,1.4414000E-05,5.35E-01,1.92E+01
4.49E+02,3.3178000E+02,3.4944840E+01,5.2023090E+00,1.4627600E-06,NaN,1.4627600E-05,5.35E-01,1.92E+01
4.52E+02,3.3205000E+02,3.4916430E+01,5.1813100E+00,1.4842500E-06,NaN,1.4842500E-05,5.35E-01,1.92E+01
4.55E+02,3.3231000E+02,3.4889110E+01,5.1683740E+00,1.5058600E-06,NaN,1.5058600E-05,5.36E-01,1.92E+01
4.58E+02,3.3259000E+02,3.4859740E+01,5.1558390E+00,1.5291000E-06,NaN,1.5291000E-05,5.36E-01,1.92E+01
4.61E+02,3.3285000E+02,3.4832510E+01,5.1534270E+00,1.5532700E-06,NaN,1.5532700E-05,5.36E-01,1.92E+01
4.64E+02,3.3312000E+02,3.4804270E+01,5.1478800E+00,1.5756400E-06,NaN,1.5756400E-05,5.37E-01,1.91E+01
4.67E+02,3.3339000E+02,3.4776090E+01,5.1590180E+00,1.6000500E-06,NaN,1.6000500E-05,5.37E-01,1.91E+01
