6/24/2024
4:45 PM
fast cooling down 470_2024.06.24_COND_FILE END.txt

Data taken by: Akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 1
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 20
Heater: Off
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.722000E+0	4.699700E+2	2.466966E+1	NaN	3.118300E-4	NaN	3.118300E-3	NaN	NaN
8.504000E+0	4.691200E+2	2.471436E+1	-6.078861E+0	3.082200E-4	NaN	3.082200E-3	NaN	NaN
1.155200E+1	4.680100E+2	2.477297E+1	-7.480167E+0	3.032700E-4	NaN	3.032700E-3	NaN	NaN
1.435700E+1	4.665100E+2	2.485263E+1	-1.541392E+1	2.945600E-4	NaN	2.945600E-3	NaN	NaN
1.728300E+1	4.646600E+2	2.495158E+1	-2.668485E+1	2.839100E-4	NaN	2.839100E-3	NaN	NaN
2.003500E+1	4.627500E+2	2.505457E+1	-3.509299E+1	2.726000E-4	NaN	2.726000E-3	NaN	NaN
2.300300E+1	4.607500E+2	2.516332E+1	-3.971339E+1	2.595500E-4	NaN	2.595500E-3	NaN	NaN
2.587600E+1	4.586900E+2	2.527633E+1	-4.100638E+1	2.470700E-4	NaN	2.470700E-3	3.696912E-1	9.205037E+0
2.873800E+1	4.573000E+2	2.535316E+1	-4.169817E+1	2.338400E-4	NaN	2.338400E-3	3.833957E-1	9.565446E+0
3.163100E+1	4.552100E+2	2.546956E+1	-3.609860E+1	2.212200E-4	NaN	2.212200E-3	4.069580E-1	1.016816E+1
3.457800E+1	4.531200E+2	2.558704E+1	-3.629425E+1	2.090800E-4	NaN	2.090800E-3	4.234935E-1	1.060078E+1
3.752500E+1	4.510300E+2	2.570561E+1	-4.294398E+1	1.974610E-4	NaN	1.974610E-3	4.353174E-1	1.091896E+1
4.033500E+1	4.488000E+2	2.583333E+1	-4.255175E+1	1.863380E-4	NaN	1.863380E-3	4.439945E-1	1.116043E+1
4.340900E+1	4.467400E+2	2.595246E+1	-4.500338E+1	1.754320E-4	NaN	1.754320E-3	4.494234E-1	1.132280E+1
4.641500E+1	4.447000E+2	2.607151E+1	-4.369051E+1	1.649770E-4	NaN	1.649770E-3	4.545579E-1	1.147793E+1
4.922200E+1	4.426900E+2	2.618988E+1	-4.045958E+1	1.560010E-4	NaN	1.560010E-3	4.642611E-1	1.175988E+1
5.221400E+1	4.406900E+2	2.630874E+1	-4.179006E+1	1.467090E-4	NaN	1.467090E-3	4.724115E-1	1.200806E+1
5.515400E+1	4.387200E+2	2.642688E+1	-4.147474E+1	1.383440E-4	NaN	1.383440E-3	4.809790E-1	1.227382E+1
5.815000E+1	4.374100E+2	2.650602E+1	-4.015495E+1	1.301320E-4	NaN	1.301320E-3	4.875600E-1	1.249380E+1
6.094700E+1	4.354800E+2	2.662350E+1	-3.313168E+1	1.229000E-4	NaN	1.229000E-3	4.972045E-1	1.279095E+1
6.384700E+1	4.335700E+2	2.674078E+1	-3.347105E+1	1.159590E-4	NaN	1.159590E-3	5.036925E-1	1.301020E+1
6.664000E+1	4.315600E+2	2.686533E+1	-4.043666E+1	1.095960E-4	NaN	1.095960E-3	5.073721E-1	1.315905E+1
6.954100E+1	4.296900E+2	2.698224E+1	-4.130243E+1	1.034700E-4	NaN	1.034700E-3	5.081100E-1	1.323371E+1
7.255800E+1	4.278700E+2	2.709702E+1	-4.087091E+1	9.745700E-5	NaN	9.745700E-4	5.065615E-1	1.324796E+1
7.537400E+1	4.260600E+2	2.721213E+1	-3.740319E+1	9.218000E-5	NaN	9.218000E-4	5.091815E-1	1.337732E+1
7.842300E+1	4.248500E+2	2.728963E+1	-3.732568E+1	8.667400E-5	NaN	8.667400E-4	5.106376E-1	1.347729E+1
8.115600E+1	4.230800E+2	2.740380E+1	-3.079766E+1	8.224600E-5	NaN	8.224600E-4	5.163933E-1	1.368658E+1
8.397500E+1	4.213400E+2	2.751697E+1	-3.078704E+1	7.772900E-5	NaN	7.772900E-4	5.198750E-1	1.383853E+1
8.694700E+1	4.196200E+2	2.762976E+1	-3.792757E+1	7.341600E-5	NaN	7.341600E-4	5.209417E-1	1.392590E+1
8.990400E+1	4.179200E+2	2.774215E+1	-3.583857E+1	6.925400E-5	NaN	6.925400E-4	5.212858E-1	1.399432E+1
9.283200E+1	4.161300E+2	2.786149E+1	-3.460964E+1	6.543700E-5	NaN	6.543700E-4	5.215239E-1	1.405972E+1
9.589000E+1	4.144900E+2	2.797172E+1	-3.558019E+1	6.175300E-5	NaN	6.175300E-4	5.191029E-1	1.405336E+1
9.887400E+1	4.128600E+2	2.808216E+1	-3.436393E+1	5.830200E-5	NaN	5.830200E-4	5.167635E-1	1.404692E+1
1.017950E+2	4.112700E+2	2.819073E+1	-3.247147E+1	5.513900E-5	NaN	5.513900E-4	5.137903E-1	1.402064E+1
1.047280E+2	4.097000E+2	2.829876E+1	-3.271824E+1	5.214400E-5	NaN	5.214400E-4	5.156509E-1	1.413171E+1
1.076680E+2	4.081500E+2	2.840622E+1	-3.238793E+1	4.939200E-5	NaN	4.939200E-4	5.169957E-1	1.422846E+1
1.106310E+2	4.066200E+2	2.851311E+1	-3.187458E+1	4.668900E-5	NaN	4.668900E-4	5.176734E-1	1.430645E+1
1.136740E+2	4.051100E+2	2.861939E+1	-3.130569E+1	4.409100E-5	NaN	4.409100E-4	5.167425E-1	1.433723E+1
1.165650E+2	4.040200E+2	2.869660E+1	-3.036695E+1	4.181500E-5	NaN	4.181500E-4	5.155368E-1	1.435831E+1
1.193280E+2	4.025500E+2	2.880139E+1	-2.631968E+1	3.976000E-5	NaN	3.976000E-4	5.171024E-1	1.445148E+1
1.223600E+2	4.011000E+2	2.890551E+1	-2.713154E+1	3.758600E-5	NaN	3.758600E-4	5.162691E-1	1.447696E+1
1.254500E+2	3.996800E+2	2.900821E+1	-3.020806E+1	3.555400E-5	NaN	3.555400E-4	5.210773E-1	1.466740E+1
1.283920E+2	3.982700E+2	2.911090E+1	-2.812629E+1	3.368700E-5	NaN	3.368700E-4	5.248159E-1	1.482886E+1
1.314190E+2	3.968800E+2	2.921286E+1	-2.814503E+1	3.192800E-5	NaN	3.192800E-4	5.280098E-1	1.497631E+1
1.342920E+2	3.955200E+2	2.931331E+1	-2.814256E+1	3.033700E-5	NaN	3.033700E-4	5.307601E-1	1.511233E+1
1.372590E+2	3.941600E+2	2.941445E+1	-2.796241E+1	2.876600E-5	NaN	2.876600E-4	5.329685E-1	1.523393E+1
1.402120E+2	3.927400E+2	2.952080E+1	-2.794279E+1	2.731600E-5	NaN	2.731600E-4	5.334623E-1	1.530529E+1
1.432830E+2	3.914300E+2	2.961960E+1	-2.817514E+1	2.588800E-5	NaN	2.588800E-4	5.327053E-1	1.534140E+1
1.462070E+2	3.901400E+2	2.971754E+1	-2.718060E+1	2.461100E-5	NaN	2.461100E-4	5.321584E-1	1.538219E+1
1.491280E+2	3.888800E+2	2.981382E+1	-2.601811E+1	2.339500E-5	NaN	2.339500E-4	5.308799E-1	1.540053E+1
1.521860E+2	3.876300E+2	2.990997E+1	-2.617627E+1	2.221800E-5	NaN	2.221800E-4	5.291956E-1	1.540534E+1
1.553000E+2	3.863900E+2	3.000595E+1	-2.518298E+1	2.106800E-5	NaN	2.106800E-4	5.269486E-1	1.539170E+1
1.581300E+2	3.851700E+2	3.010099E+1	-2.420513E+1	1.997730E-5	NaN	1.997730E-4	5.250975E-1	1.538755E+1
1.610130E+2	3.839700E+2	3.019507E+1	-2.481609E+1	1.915080E-5	NaN	1.915080E-4	5.240457E-1	1.540484E+1
1.639590E+2	3.827100E+2	3.029448E+1	-2.541434E+1	1.823850E-5	NaN	1.823850E-4	5.242719E-1	1.546384E+1
1.670130E+2	3.819400E+2	3.035555E+1	-2.532291E+1	1.733680E-5	NaN	1.733680E-4	5.225105E-1	1.546420E+1
1.697890E+2	3.807900E+2	3.044723E+1	-2.026841E+1	1.655780E-5	NaN	1.655780E-4	5.258751E-1	1.561139E+1
1.728320E+2	3.796500E+2	3.053865E+1	-1.968278E+1	1.576810E-5	NaN	1.576810E-4	5.289269E-1	1.575091E+1
1.757570E+2	3.785200E+2	3.062982E+1	-2.359417E+1	1.503710E-5	NaN	1.503710E-4	5.320296E-1	1.589322E+1
1.787690E+2	3.774100E+2	3.071991E+1	-2.281940E+1	1.432820E-5	NaN	1.432820E-4	5.348355E-1	1.602800E+1
1.817930E+2	3.763200E+2	3.080889E+1	-2.263509E+1	1.365840E-5	NaN	1.365840E-4	5.371471E-1	1.614902E+1
1.847490E+2	3.752400E+2	3.089756E+1	-2.186863E+1	1.302730E-5	NaN	1.302730E-4	5.394115E-1	1.626936E+1
1.876960E+2	3.741800E+2	3.098509E+1	-2.177202E+1	1.243830E-5	NaN	1.243830E-4	5.400361E-1	1.633927E+1
1.905200E+2	3.730500E+2	3.107894E+1	-2.175174E+1	1.190590E-5	NaN	1.190590E-4	5.406335E-1	1.640828E+1
1.935130E+2	3.720100E+2	3.116583E+1	-2.276040E+1	1.136580E-5	NaN	1.136580E-4	5.387103E-1	1.640130E+1
1.962980E+2	3.709900E+2	3.125152E+1	-2.236739E+1	1.089890E-5	NaN	1.089890E-4	5.365530E-1	1.638592E+1
1.993120E+2	3.699900E+2	3.133598E+1	-2.138474E+1	1.040170E-5	NaN	1.040170E-4	5.333943E-1	1.633858E+1
2.023070E+2	3.693300E+2	3.139198E+1	-2.088657E+1	1.016540E-5	NaN	1.016540E-4	5.314508E-1	1.632664E+1
2.051490E+2	3.683500E+2	3.147550E+1	-1.657866E+1	9.747800E-6	NaN	9.747800E-5	5.285818E-1	1.628188E+1
2.079670E+2	3.673800E+2	3.155860E+1	-1.682538E+1	9.348900E-6	NaN	9.348900E-5	5.228164E-1	1.614618E+1
2.108620E+2	3.664100E+2	3.164215E+1	-2.067140E+1	8.954600E-6	NaN	8.954600E-5	5.152612E-1	1.595212E+1
2.138230E+2	3.654000E+2	3.172961E+1	-2.037335E+1	8.578100E-6	NaN	8.578100E-5	5.131682E-1	1.593133E+1
2.168020E+2	3.644700E+2	3.181057E+1	-2.028757E+1	8.209200E-6	NaN	8.209200E-5	5.100296E-1	1.587835E+1
2.196500E+2	3.635500E+2	3.189107E+1	-1.959508E+1	7.883600E-6	NaN	7.883600E-5	5.082154E-1	1.586582E+1
2.225570E+2	3.629500E+2	3.194379E+1	-1.904682E+1	7.559500E-6	NaN	7.559500E-5	5.063495E-1	1.585105E+1
2.254010E+2	3.617600E+2	3.204887E+1	-1.583513E+1	7.260100E-6	NaN	7.260100E-5	5.095462E-1	1.599089E+1
2.285730E+2	3.608800E+2	3.212702E+1	-1.865179E+1	6.941500E-6	NaN	6.941500E-5	5.092212E-1	1.602495E+1
2.315790E+2	3.600100E+2	3.220466E+1	-2.056838E+1	6.656300E-6	NaN	6.656300E-5	5.112372E-1	1.613213E+1
2.345530E+2	3.594400E+2	3.225573E+1	-1.699257E+1	6.384700E-6	NaN	6.384700E-5	5.145059E-1	1.627886E+1
2.374030E+2	3.585900E+2	3.233219E+1	-1.445339E+1	6.143400E-6	NaN	6.143400E-5	5.208811E-1	1.651904E+1
2.403550E+2	3.577000E+2	3.241264E+1	-1.460644E+1	5.904700E-6	NaN	5.904700E-5	5.270285E-1	1.675309E+1
2.432230E+2	3.568600E+2	3.248893E+1	-1.799437E+1	5.682300E-6	NaN	5.682300E-5	5.312432E-1	1.692671E+1
2.462710E+2	3.560600E+2	3.256193E+1	-1.783629E+1	5.455400E-6	NaN	5.455400E-5	5.356436E-1	1.710666E+1
