5/24/2024
3:02 PM
slow cool at 490_2024.05.24_COND_FILE END.txt

Data taken by: akshat Sharma
ammeter is Keithley 6517A at GPIB0::27::INSTR
voltage source is Keithley 6517A at GPIB0::27::INSTR
temperature controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Readings: 5
Voltage (V): 100
Geo Factor: 1000
Ea Window (pts): 5
Shut off V when done?: TRUE
Mconnect?: TRUE
Use Abs(Cond)?: TRUE
Rate (K/min): 1
Heater: High
DESCRIPTION
********************
Time (s)	Temperature (K)	1/kT (1/eV)	Rate (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea	
1.898370E+2	4.899600E+2	2.366316E+1	-1.325500E+0	5.590940E-4	8.633624E-5	5.590940E-3	4.917257E-1	1.159546E+1
1.989260E+2	4.897800E+2	2.367185E+1	-1.303600E+0	5.565300E-4	1.476262E-4	5.565300E-3	4.935325E-1	1.164034E+1
2.090410E+2	4.895700E+2	2.368201E+1	-1.278135E+0	5.538880E-4	1.048077E-4	5.538880E-3	4.945997E-1	1.166800E+1
2.183610E+2	4.893800E+2	2.369120E+1	-1.264170E+0	5.508540E-4	2.424037E-4	5.508540E-3	4.956182E-1	1.169422E+1
2.294850E+2	4.891600E+2	2.370186E+1	-1.249521E+0	5.476680E-4	2.979111E-4	5.476680E-3	4.975664E-1	1.174281E+1
2.383060E+2	4.889700E+2	2.371107E+1	-1.238016E+0	5.447900E-4	2.183479E-4	5.447900E-3	4.996421E-1	1.179393E+1
2.476520E+2	4.887800E+2	2.372028E+1	-1.228593E+0	5.426160E-4	2.025540E-4	5.426160E-3	5.012882E-1	1.183493E+1
2.574540E+2	4.885700E+2	2.373048E+1	-1.227615E+0	5.402480E-4	2.889579E-4	5.402480E-3	5.020719E-1	1.185584E+1
2.675450E+2	4.883900E+2	2.373922E+1	-1.226216E+0	5.376380E-4	1.701660E-4	5.376380E-3	5.024100E-1	1.186623E+1
2.786560E+2	4.881700E+2	2.374992E+1	-1.207896E+0	5.352720E-4	2.009519E-4	5.352720E-3	5.026983E-1	1.187561E+1
2.887640E+2	4.879700E+2	2.375966E+1	-1.192596E+0	5.322920E-4	1.789179E-4	5.322920E-3	5.030419E-1	1.188606E+1
2.988300E+2	4.877700E+2	2.376940E+1	-1.177815E+0	5.296640E-4	1.638314E-4	5.296640E-3	5.033837E-1	1.189646E+1
3.089180E+2	4.875800E+2	2.377866E+1	-1.171828E+0	5.272420E-4	1.024900E-4	5.272420E-3	5.026526E-1	1.188146E+1
3.190130E+2	4.873800E+2	2.378842E+1	-1.169699E+0	5.246000E-4	1.752266E-4	5.246000E-3	5.010989E-1	1.184697E+1
3.310770E+2	4.871700E+2	2.379867E+1	-1.160003E+0	5.221020E-4	1.688322E-4	5.221020E-3	5.001197E-1	1.182675E+1
3.411590E+2	4.869800E+2	2.380796E+1	-1.141190E+0	5.198140E-4	1.745227E-4	5.198140E-3	4.997468E-1	1.182094E+1
3.522710E+2	4.867700E+2	2.381823E+1	-1.122036E+0	5.172380E-4	1.959272E-4	5.172380E-3	5.000156E-1	1.183177E+1
3.623960E+2	4.865600E+2	2.382851E+1	-1.118496E+0	5.147660E-4	2.085954E-4	5.147660E-3	5.007240E-1	1.185378E+1
3.724620E+2	4.863800E+2	2.383733E+1	-1.131672E+0	5.125340E-4	1.540002E-4	5.125340E-3	5.012117E-1	1.187111E+1
3.835570E+2	4.861800E+2	2.384713E+1	-1.140055E+0	5.101400E-4	1.486430E-4	5.101400E-3	5.009600E-1	1.187132E+1
3.946410E+2	4.859800E+2	2.385695E+1	-1.132128E+0	5.077480E-4	1.436506E-4	5.077480E-3	5.005395E-1	1.186709E+1
4.057740E+2	4.857800E+2	2.386677E+1	-1.110406E+0	5.055000E-4	1.363407E-4	5.055000E-3	4.997223E-1	1.185315E+1
4.168720E+2	4.855800E+2	2.387660E+1	-1.085159E+0	5.030620E-4	9.574641E-5	5.030620E-3	4.989585E-1	1.184047E+1
4.282220E+2	4.853800E+2	2.388644E+1	-1.076552E+0	5.005960E-4	1.252301E-4	5.005960E-3	4.984001E-1	1.183271E+1
4.390290E+2	4.851800E+2	2.389629E+1	-1.079635E+0	4.980220E-4	1.633731E-4	4.980220E-3	4.976063E-1	1.181935E+1
4.501490E+2	4.849800E+2	2.390614E+1	-1.083429E+0	4.956060E-4	1.912060E-4	4.956060E-3	4.967913E-1	1.180538E+1
4.612360E+2	4.847800E+2	2.391600E+1	-1.083221E+0	4.936460E-4	1.837741E-4	4.936460E-3	4.952783E-1	1.177468E+1
4.723360E+2	4.845800E+2	2.392587E+1	-1.076707E+0	4.910940E-4	2.195964E-4	4.910940E-3	4.933511E-1	1.173403E+1
4.834550E+2	4.843800E+2	2.393575E+1	-1.074043E+0	4.891940E-4	1.464123E-4	4.891940E-3	4.910625E-1	1.168476E+1
4.945480E+2	4.841800E+2	2.394564E+1	-1.077523E+0	4.872820E-4	1.118402E-4	4.872820E-3	4.886340E-1	1.163213E+1
5.058850E+2	4.839800E+2	2.395554E+1	-1.085021E+0	4.852120E-4	7.901820E-5	4.852120E-3	4.858290E-1	1.157046E+1
5.179890E+2	4.837800E+2	2.396544E+1	-1.075857E+0	4.827740E-4	1.323080E-4	4.827740E-3	4.823002E-1	1.149187E+1
5.301460E+2	4.835700E+2	2.397585E+1	-1.054664E+0	4.802480E-4	1.153729E-4	4.802480E-3	4.797729E-1	1.143700E+1
5.410010E+2	4.833800E+2	2.398527E+1	-1.034668E+0	4.780960E-4	1.453645E-4	4.780960E-3	4.782804E-1	1.140630E+1
5.530810E+2	4.831700E+2	2.399570E+1	-1.023716E+0	4.757900E-4	1.932026E-4	4.757900E-3	4.769279E-1	1.137929E+1
5.641670E+2	4.829800E+2	2.400513E+1	-1.027135E+0	4.736560E-4	1.323528E-4	4.736560E-3	4.752803E-1	1.134472E+1
5.762620E+2	4.827700E+2	2.401558E+1	-1.032598E+0	4.713760E-4	1.548803E-4	4.713760E-3	4.736323E-1	1.131050E+1
5.874350E+2	4.825800E+2	2.402503E+1	-1.035952E+0	4.693540E-4	2.697530E-4	4.693540E-3	4.719309E-1	1.127455E+1
5.985070E+2	4.823800E+2	2.403499E+1	-1.041057E+0	4.671600E-4	1.719152E-4	4.671600E-3	4.708003E-1	1.125223E+1
6.095940E+2	4.821800E+2	2.404496E+1	-1.047240E+0	4.650400E-4	2.685790E-4	4.650400E-3	4.698312E-1	1.123371E+1
6.217050E+2	4.819700E+2	2.405544E+1	-1.053614E+0	4.629420E-4	1.710437E-4	4.629420E-3	4.686210E-1	1.120983E+1
6.338080E+2	4.817700E+2	2.406543E+1	-1.048321E+0	4.607960E-4	1.343045E-4	4.607960E-3	4.676282E-1	1.119111E+1
6.459540E+2	4.815700E+2	2.407542E+1	-1.032319E+0	4.587240E-4	1.096500E-4	4.587240E-3	4.664047E-1	1.116683E+1
6.570350E+2	4.813900E+2	2.408442E+1	-1.016779E+0	4.567800E-4	1.688696E-4	4.567800E-3	4.652814E-1	1.114449E+1
6.691770E+2	4.811800E+2	2.409493E+1	-1.002720E+0	4.552960E-4	2.188673E-4	4.552960E-3	4.636667E-1	1.111072E+1
6.812740E+2	4.809700E+2	2.410545E+1	-1.004020E+0	4.533580E-4	1.474730E-4	4.533580E-3	4.611115E-1	1.105436E+1
6.923530E+2	4.807800E+2	2.411498E+1	-1.012692E+0	4.516300E-4	1.084733E-4	4.516300E-3	4.586402E-1	1.099957E+1
7.037310E+2	4.805800E+2	2.412502E+1	-1.030664E+0	4.494740E-4	8.982335E-5	4.494740E-3	4.560816E-1	1.094266E+1
7.158530E+2	4.803700E+2	2.413556E+1	-1.044378E+0	4.471780E-4	1.584424E-4	4.471780E-3	4.535486E-1	1.088674E+1
7.266890E+2	4.801800E+2	2.414511E+1	-1.048443E+0	4.450760E-4	2.093272E-4	4.450760E-3	4.519346E-1	1.085240E+1
7.387510E+2	4.800000E+2	2.415417E+1	-1.038547E+0	4.421820E-4	1.146477E-4	4.421820E-3	4.514631E-1	1.084580E+1
7.521590E+2	4.797800E+2	2.416524E+1	-1.011264E+0	4.398840E-4	2.005172E-4	4.398840E-3	4.531139E-1	1.089049E+1
7.642660E+2	4.795700E+2	2.417582E+1	-9.909810E-1	4.379300E-4	1.416856E-4	4.379300E-3	4.547803E-1	1.093522E+1
7.750960E+2	4.793800E+2	2.418541E+1	-9.894685E-1	4.360840E-4	1.130402E-4	4.360840E-3	4.559970E-1	1.096882E+1
7.875010E+2	4.791700E+2	2.419601E+1	-1.001691E+0	4.342060E-4	1.803161E-4	4.342060E-3	4.566682E-1	1.098971E+1
7.983240E+2	4.789800E+2	2.420560E+1	-1.016149E+0	4.323640E-4	1.374162E-4	4.323640E-3	4.567622E-1	1.099628E+1
8.104310E+2	4.787800E+2	2.421571E+1	-1.024838E+0	4.302460E-4	1.289907E-4	4.302460E-3	4.564360E-1	1.099309E+1
8.215300E+2	4.785800E+2	2.422583E+1	-1.024568E+0	4.283520E-4	1.765620E-4	4.283520E-3	4.561668E-1	1.099089E+1
8.336420E+2	4.783800E+2	2.423596E+1	-1.025043E+0	4.263640E-4	2.127744E-4	4.263640E-3	4.562116E-1	1.099671E+1
8.457390E+2	4.781800E+2	2.424610E+1	-1.019930E+0	4.242260E-4	1.533109E-4	4.242260E-3	4.567246E-1	1.101380E+1
8.578440E+2	4.779900E+2	2.425574E+1	-1.007918E+0	4.221000E-4	2.099034E-4	4.221000E-3	4.575407E-1	1.103822E+1
8.699660E+2	4.777800E+2	2.426640E+1	-9.936194E-1	4.203700E-4	1.269962E-4	4.203700E-3	4.585855E-1	1.106816E+1
8.820780E+2	4.775800E+2	2.427656E+1	-9.901759E-1	4.182700E-4	1.665000E-4	4.182700E-3	4.594700E-1	1.109430E+1
8.942050E+2	4.773700E+2	2.428724E+1	-9.954910E-1	4.163200E-4	1.451173E-4	4.163200E-3	4.605368E-1	1.112484E+1
9.063250E+2	4.771700E+2	2.429742E+1	-1.001248E+0	4.142520E-4	1.880744E-4	4.142520E-3	4.616079E-1	1.115551E+1
9.174230E+2	4.769700E+2	2.430761E+1	-1.014162E+0	4.121720E-4	1.675640E-4	4.121720E-3	4.629772E-1	1.119302E+1
9.285170E+2	4.767800E+2	2.431730E+1	-1.021983E+0	4.103780E-4	1.535363E-4	4.103780E-3	4.642072E-1	1.122720E+1
9.406040E+2	4.765800E+2	2.432750E+1	-1.028006E+0	4.082060E-4	1.359552E-4	4.082060E-3	4.658492E-1	1.127180E+1
9.537070E+2	4.763800E+2	2.433771E+1	-1.014366E+0	4.062740E-4	9.469168E-5	4.062740E-3	4.677427E-1	1.132290E+1
9.658180E+2	4.761800E+2	2.434794E+1	-9.938965E-1	4.042920E-4	1.097837E-4	4.042920E-3	4.693829E-1	1.136751E+1
9.769380E+2	4.759800E+2	2.435817E+1	-9.814475E-1	4.025720E-4	1.706583E-4	4.025720E-3	4.698129E-1	1.138242E+1
9.890260E+2	4.757800E+2	2.436841E+1	-9.881738E-1	4.005140E-4	1.351500E-4	4.005140E-3	4.694844E-1	1.137934E+1
1.001160E+3	4.755800E+2	2.437865E+1	-9.998403E-1	3.985400E-4	1.951667E-4	3.985400E-3	4.687438E-1	1.136620E+1
1.013230E+3	4.753800E+2	2.438891E+1	-1.007351E+0	3.966060E-4	1.580655E-4	3.966060E-3	4.679345E-1	1.135133E+1
1.025374E+3	4.751800E+2	2.439918E+1	-1.003297E+0	3.946240E-4	1.383326E-4	3.946240E-3	4.670044E-1	1.133348E+1
1.036461E+3	4.749800E+2	2.440945E+1	-9.992667E-1	3.926300E-4	1.862917E-4	3.926300E-3	4.670139E-1	1.133803E+1
1.048560E+3	4.747800E+2	2.441973E+1	-1.005941E+0	3.906680E-4	1.219565E-4	3.906680E-3	4.684100E-1	1.137678E+1
1.060682E+3	4.745700E+2	2.443054E+1	-1.014246E+0	3.886040E-4	1.130502E-4	3.886040E-3	4.705193E-1	1.143296E+1
1.072797E+3	4.743900E+2	2.443981E+1	-1.014101E+0	3.867100E-4	1.112245E-4	3.867100E-3	4.724702E-1	1.148532E+1
1.084877E+3	4.741900E+2	2.445011E+1	-9.984369E-1	3.848100E-4	2.189691E-4	3.848100E-3	4.741139E-1	1.153017E+1
1.096983E+3	4.739800E+2	2.446095E+1	-9.854963E-1	3.829360E-4	6.809704E-5	3.829360E-3	4.755744E-1	1.157061E+1
1.109104E+3	4.737800E+2	2.447127E+1	-9.841904E-1	3.810420E-4	1.653569E-4	3.810420E-3	4.764407E-1	1.159664E+1
1.121215E+3	4.735900E+2	2.448109E+1	-9.866873E-1	3.793220E-4	1.801567E-4	3.793220E-3	4.773294E-1	1.162321E+1
1.133327E+3	4.733700E+2	2.449247E+1	-9.974009E-1	3.774980E-4	2.736324E-4	3.774980E-3	4.776549E-1	1.163607E+1
1.144433E+3	4.731800E+2	2.450230E+1	-1.004986E+0	3.757580E-4	1.400657E-4	3.757580E-3	4.775278E-1	1.163755E+1
1.155529E+3	4.729900E+2	2.451215E+1	-1.015546E+0	3.740960E-4	1.848123E-4	3.740960E-3	4.774004E-1	1.163906E+1
1.167645E+3	4.727900E+2	2.452252E+1	-1.027403E+0	3.719820E-4	1.402047E-4	3.719820E-3	4.773927E-1	1.164395E+1
1.180763E+3	4.725700E+2	2.453393E+1	-1.021854E+0	3.702380E-4	1.835862E-4	3.702380E-3	4.771910E-1	1.164447E+1
1.192865E+3	4.723800E+2	2.454380E+1	-9.992597E-1	3.684560E-4	1.078805E-4	3.684560E-3	4.768084E-1	1.164015E+1
1.204981E+3	4.721900E+2	2.455368E+1	-9.782161E-1	3.669180E-4	2.280237E-5	3.669180E-3	4.761162E-1	1.162821E+1
1.217068E+3	4.719800E+2	2.456460E+1	-9.758484E-1	3.650400E-4	1.462453E-4	3.650400E-3	4.753072E-1	1.161341E+1
1.229159E+3	4.717700E+2	2.457553E+1	-9.854010E-1	3.632440E-4	2.037942E-4	3.632440E-3	4.743969E-1	1.159609E+1
1.241328E+3	4.715800E+2	2.458544E+1	-9.929481E-1	3.613920E-4	2.138005E-4	3.613920E-3	4.734992E-1	1.157904E+1
1.252383E+3	4.713800E+2	2.459587E+1	-1.003053E+0	3.597240E-4	2.229133E-4	3.597240E-3	4.727711E-1	1.156574E+1
1.264535E+3	4.711800E+2	2.460631E+1	-1.011598E+0	3.578500E-4	1.864142E-4	3.578500E-3	4.720699E-1	1.155355E+1
1.276620E+3	4.709800E+2	2.461676E+1	-1.014774E+0	3.560880E-4	1.898457E-4	3.560880E-3	4.713049E-1	1.153980E+1
1.288761E+3	4.707700E+2	2.462774E+1	-1.016193E+0	3.543440E-4	1.419499E-4	3.543440E-3	4.703588E-1	1.152155E+1
1.299846E+3	4.705800E+2	2.463768E+1	-1.011211E+0	3.528480E-4	1.304909E-4	3.528480E-3	4.694162E-1	1.150296E+1
1.312937E+3	4.703800E+2	2.464816E+1	-9.987381E-1	3.510360E-4	1.058249E-4	3.510360E-3	4.682864E-1	1.148059E+1
